Province,District,Recency District,Facility,DATIM Site Name,DATIM Org ID,Facility ID,Province Code,District Code,EHR Version,Activation Status,EHR Type,IP Address,Implementing Partner,Type,Ownership,Location,Level,Status
Matabeleland South,Umzingwane,Umzingwane,Mbizingwe RHC,Mbizingwe - 100995 - Rural Health Centre,WRQDsk1fI1Z,ZW060602,ZW06,,,,,,,RHC,Government,Rural,,
Midlands,Kwekwe,Kwekwe,Mbizo I Clinic,Mbizo 1 - 100996 - Clinic,cNMEcj2lCN3,ZW070562,ZW07,,,,,10.54.31.3,ZHI,RHC,Town/City Council,Urban,Primary,
Midlands,Kwekwe,Kwekwe,Mbizo II Clinic,Mbizo 2 - 100997 - Clinic,hZNgOzXAjrf,ZW070563,ZW07,,,,,192.168.10.1,ZHI,RHC,Town/City Council,Urban,Primary,
Matabeleland South,Insiza,Insiza,Mbondo,,ZW060431,ZW060431,ZW06,,,,,192.168.1.254,Ophid,,,,,
Matabeleland North,Nkayi,Nkayi,Mbuma Mission Hospital,Mbuma - 100998 - Mission Hospital,dhwL8YFJUKy,ZW05050C,ZW05,,,,,1.2.25-Q5-2,ZACH,Mission Hospital,Mission,Rural,Secondary,Open
Mash West,Chegutu,Chegutu,Mbyuanehanda Rural Health Centre,Mbuyanehanda - 100999 - Rural Health Centre,k7NVgERevcu,ZW040103,ZW04,,,,,,ZIMTTECH,RDC,Government,Rural,Primary,Open
Mashonaland Central,Guruve,Guruve,mc Bakasa Clinic,Bakasa - 100035 - Clinic,n8RWoY50Jdi,ZW020326,ZW02,,,,,10.71.3. 254,ZIMTTECH,Clinic,council,Rural,PHC,Open
Mashonaland Central,Guruve,Guruve,mc Bepura Clinic,Bepura - 100058 - Clinic,WfmzrChbLZ1,ZW020327,ZW02,,,,,,,Clinic,council,Rural,PHC,Open
Mashonaland Central,Guruve,Guruve,mc Birkdale Clinic,Birkdale - 100077 - Rural Health Centre,K8NL6XRIrxZ,ZW020344,ZW02,,,,,,ZIMTTECH,Clinic,council,Rural,PHC,Open
Mashonaland Central,Guruve,Guruve,mc Brandon Clinic,Brandon - 100092 - Clinic,hinUkt7c07g,ZW020348,ZW02,,,,,192.168.10.1,ZIMTTECH,Clinic,council,Rural,PHC,Open
Mashonaland Central,Guruve,Guruve,mc Bvochora Rural Health Centre,Bvochora - 100109 - Clinic,H1CIVRR8e4n,ZW020301,ZW02,,,,,192.169.10.1,ZIMTTECH,Rural Health Centre,Government,Rural,PHC,Open
Mashonaland Central,Guruve,Guruve,mc Camsasa Clinic,Kamusasa - 100697 - Clinic,EN9aDhbLX4h,ZW020347,ZW02,,,,,192.168.10.1,ZIMTTECH,Clinic,council,Rural,PHC,Open
Mashonaland Central,Guruve,Guruve,mc Chipuriro Clinic,Chipuriro - 100261 - Clinic,ljTll5k1dSz,ZW020329,ZW02,,,,,192.169.10.1,ZIMTTECH,Clinic,council,Rural,PHC,Open
Mashonaland Central,Guruve,Guruve,mc Gota Clinic,Gota - 100527 - Clinic,EG82X64efyb,ZW020334,ZW02,,,,,,ZIMTTECH,Clinic,council,Rural,PHC,Open
Mashonaland Central,Guruve,Guruve,mc Guruve Centre Rural Health Clinic,Guruve - 100554 - Clinic,m3PHpSk6e5D,ZW020308,ZW02,,,,,192.168.10.1,ZIMTTECH,Rural Health Centre,Government,Rural,PHC,Open
Mashonaland Central,Guruve,Guruve,mc Guruve District Hospital,Guruve - 100553 - District Hospital,vHz5VnCPKDo,ZW02030B,ZW02,,,,,,ZIMTTECH,District Hospital,Government,Rural,Secondary,Open
Mashonaland Central,Guruve,Guruve,mc Kachuta Clinic,Kachuta - 100679 - Clinic,vfT8lkkZDP3,ZW020331,ZW02,,,,,192.168.10.1,ZIMTTECH,Clinic,council,Rural,PHC,Open
Mashonaland Central,Guruve,Guruve,mc Kemutamba Clinic,Kemutamba - 100729 - Rural Health Centre,IEk6Eq8wiJC,ZW020346,ZW02,,,,,192.168.10.1,ZIMTTECH,Clinic,council,Rural,PHC,Open
Mashonaland Central,Guruve,Guruve,mc Matsvitsi Clinic,Matsvitsi - 100963 - Clinic,ioI2RDrHeYA,ZW020333,ZW02,,,,,192.168.10.1,ZIMTTECH,Clinic,council,Rural,PHC,Open
Mashonaland Central,Guruve,Guruve,mc Mugarakamwe Clinic,Mugarakamwe - 101088 - Rural Health Centre,TDDKilyABXk,ZW020345,ZW02,,,,,,ZIMTTECH,Clinic,council,Rural,PHC,Open
Mashonaland Central,Guruve,Guruve,mc Negomo Rural Health Centre,Negomo - 101220 - Clinic,wiytlUmyowe,ZW020305,ZW02,,,,,192.168.10.1,ZIMTTECH,Clinic,council,Rural,PHC,Open
Mashonaland Central,Guruve,Guruve,mc Nyakapupu Clinic,Nyakapupu - 101322 - Clinic,RZiEZOfYYtO,ZW020339,ZW02,,,,,,ZIMTTECH,Clinic,council,Rural,PHC,Open
Mashonaland Central,Guruve,Guruve,mc Nyamhondoro Rural Health Centre,Nyamhondoro - 101347 - Clinic,MbFiYotYxPd,ZW020306,ZW02,,,,,192.168.10.1,ZIMTTECH,Rural Health Centre,Government,Rural,PHC,Open
Mashonaland Central,Guruve,Guruve,mc Nyamupfuta Clinic,Nyamupfuta Clinic,GPVHFSphFZP,ZW020350,ZW02,,,,,,,Clinic,council,Rural,PHC,Open
Mashonaland Central,Guruve,Guruve,mc Ruyamuro Clinic,Ruyamuro - 101497 - Clinic,J8FU6ENnDNO,ZW020343,ZW02,,,,,192.168.10.1,ZIMTTECH,Clinic,council,Rural,PHC,Open
Mashonaland Central,Guruve,Guruve,mc Shinje Rural Health Centre,Shinje - 101565 - Clinic,XvFeIoEFTeb,ZW020307,ZW01,,,,,,ZHI,Rural Health Centre,Government,Rural,PHC,Open
Matabeleland North,Lupane,Lupane,Mdlankuzi Clinic,Mdlankunzi - 101001 - Clinic,HFcVItvEOoB,ZW050427,ZW05,,,,,192.168.10.1,ZIMTTECH,RDC,Town/City Council,Rural,Primary,Open
Matabeleland North,Bubi,Bubi,Mdutshane Rural Health Centre,Mdutshane - 101002 - Clinic,wEobN4cAAW1,ZW0502030,ZW05,,,,,192.168.10.1,ZIMTTECH,RHC,Government,Rural,Primary,Open
Matabeleland South,Umzingwane,Umzingwane,Mhlahlandlela Clinic,Mhlahlandlela - 101013 - Clinic,JfjyEPK4x5b,ZW060628,ZW06,,,,,10.84.27.3,Ophid,RDC,Rural Council,Rural,,
Masvingo,Chiredzi,Chiredzi,Mhlanguleni Rural Health Centre,Mahlanguleni - 100827 - Clinic,T5GUOFScrzV,ZW080208,ZW08,,,,,,,RHC,Government,Rural,Primary,Open
Mashonaland West,Chegutu,Chegutu,Mhondoro North Clinic,Mhondoro North - 101016 - Council Clinic,F7EVUaZPD8U,ZW040127,ZW04,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Mashonaland West,Chegutu,Chegutu,Mhondoro Rural Hospital,Mhondoro - 101015 - Rural Hospital,d6ywbdGkzaO,ZW04010B,ZW04,,,,,192.168.10.1,ZIMTTECH,Rural Hospital,Government,Rural,Primary,Open
Midlands,Mberengwa,Mberengwa,Mketi Clinic,Muketi - 101094 - Clinic,sMfRb7ilqPz,ZW070633,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,Open
Midlands,Gweru,Gweru,Mkoba I Clinic,Mkoba 1 - 101022 - Clinic,kaTOd9MJSSE,ZW070462,ZW07,,,,,192.168.10.1,ZHI,RHC,Town/City Council,Urban,Primary,
Midlands,Gweru,Gweru,Mkoba PolyClinic,Mkoba Poly - 101023 - Clinic,B1ZFRN0RAMC,ZW070463,ZW07,,,,,192.168.10.1,ZHI,RHC,Town/City Council,Urban,Primary,
Manicaland,Mutare,Mutare,Mkwada Clinic,Mukwada - 101103 - Clinic,cAEJQYoN26N,ZW010533,ZW01,,,,,,ZHI,RDC,Rural Council,Rural,Primary,Open
Masvingo,Chiredzi,Chiredzi,Mkwasine Clinic,Mkwasine - 101025 - Clinic,bUgKeujjHs0,ZW080282,ZW08,,,,,,,RHC,Private,Rural,Primary,Open
Masvingo,Mwenezi,Mwenezi,Mlelezi Clinic,Mulelesi - 101104 - Clinic,VQBNHdBY781,ZW080630,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Rural Council,Rural,Primary,Open
Midlands,Kwekwe,Kwekwe,Mlezu clinic,Mlezu College - 101872 - Clinic,WscRtpmKh2V,ZW070553,ZW07,,,,,,ZHI,,,,,
Midlands,Mberengwa,Mberengwa,Mnene Mission Hospital,Mnene Outreach,K6sG4uXiB6K,ZW07060C,ZW07,,,,,,ZHI,Mission Hospital,Mission,Rural,Secondary,Open
Manicaland,Buhera,Buhera,Mombeyarara,Mombeyarara - 101032 - Rural Health Centre,GRnO7AgEsEI,ZW010104,ZW01,,,,,,ZHI,RDC,Rural Council,Rural,Primary,Open
Mashonaland West,Chegutu,Chegutu,Monera Rural Health Centre,Monera - 101033 - Council Clinic,Pj8Kuw1CNhE,ZW040104,ZW04,,,,,192.168.10.1,ZIMTTECH,RHC,Government,Rural,Primary,Open
Midlands,Gweru,Gweru,Monomutapa Clinic,Monomutapa - 101034 - Clinic,aGWqGhV3ang,ZW070464,ZW07,,,,,192.168.10.1,ZHI,RHC,Town/City Council,Urban,Primary,
Masvingo,Masvingo,Masvingo,Morgenster Mission Hospital,Mogenester - 101030 - Mission Hospital,J4lnaGjZpej,ZW08050D,ZW08,,,,,10.39.15.3,OPHID/Kapinek,Hospital,Mission,Rural,Primary,Open
Mashonaland West,Zvimba,Zvimba,Mount Hampden RDC Clinic,Mt. Hampden - 101059 - Clinic,IM2c57bchDp,ZW040745,ZW04,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Peri-Urban,Primary,RURAL
Manicaland,Chipinge,Chipinge,Mount Selinda Mission Hospital,Mt. Selinda - 101065 - Mission Hospital,nlmsitPL9Iu,ZW01030C,ZW01,,,,,10.20.10.2,ZHI,Mission Hospital,Mission,Rural,Primary,Open
Manicaland,Mutare,Mutare,Mount Zuma Clinic,Mt. Zuma - 101064 - Rural Health Centre,L1KD15RCB3o,ZW010509,ZW01,,,,,192.168.10.2,ZHI,RHC,Rural Council,Rural,Primary,Open
Mashonaland West,Hurungwe,Hurungwe,Moy RDC Clinic,Moy RDC Clinic,zsDKyIf4vbl,ZW040235,ZW04,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Matabeleland North,Tsholotsho,Tsholotsho,Mpanedziba Clinic,Mpanedziba - 101040 - Clinic,aXdklJjzRGW,ZW050697,ZW05,,,,,,ZIMTTECH,RDC,Town/City Council,Rural,Primary,Open
Midlands,Kwekwe,Kwekwe,Mpinda rhc,Mpinda - 101042 - Clinic,tSdwPF3mcEX,ZW070506,ZW07,,,,,,ZHI,,,,,
Matabeleland South,Umzingwane,Umzingwane,Mpisini RHC,Mpisini - 101044 - Clinic,QF8O7qAp5NJ,ZW060605,ZW06,,,,,192.168.10.1,Ophid,RHC,Government,Rural,,
Midlands,Mberengwa,Mberengwa,Mponjani Clinic,Mponjani - 101046 - Clinic,B9tfPt6kbdN,ZW070638,ZW07,,,,,,ZHI,RDC,Rural Council,Rural,Primary,Open
Midlands,Mberengwa,Mberengwa,Mposi Clinic,Mposi - 101048 - Clinic,R1CcS5Hxd1k,ZW070639,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,Open
Midlands,Kwekwe,Kwekwe,Msilahobe Rural Health Centre,Msilahove - 101055 - Rural Hospital,s33kOOe8v54,ZW070504,ZW07,,,,,192.168.10.1,ZHI,RHC,Government,Rural,Primary,
Matabeleland South,Beitbridge,Beitbridge,Mtetengwe Clinic,Mtetengwe - 101069 - Clinic,ooCbPaLKfGV,ZW060179,ZW06,,,,,192.168.10.1,Ophid,RDC,Rural Council,Rural,,
Matabeleland South,Gwanda,Gwanda,Mtshabezi Mission Hospital,Mtshabezi - 101073 - Mission Hospital,IVZFwtiwLgU,ZW06030C,ZW06,,,,,,,Mission Hospital,Mission,Rural,,
Manicaland,Makoni,Makoni,Mubvurungwa Clinic,Mubvurungwa - 101075 - Clinic,D7ozNJrRYT5,ZW010441,ZW01,,,,,,,RDC,Rural Council,Rural,Primary ,Open
Masvingo,Masvingo,Masvingo,Mucheke Clinic,Mucheke - 101077 - Clinic,PPyDaHmqOoL,ZW080535,ZW08,,,,,192.168.10.1,OPHID/Kapinek,Clinic,City Council,Urban,Primary,Open
Mashonaland East,Murewa,Murewa,Muchinjike Rural Health Centre,Muchinjike - 101079 - Rural Health Centre,ic2VBm6nv6a,ZW030750,ZW03,,,,,,ZIMTTECH,RHC,Rural Council,Rural,clinic,Active
Mashonaland East,Seke,Seke,Muda Clinic,Muda - 101080 - Clinic,o5kCOvuHFbM,ZW030925,ZW03,,,,,,ZIMTTECH,RHC,Rural Council,Rural,clinic,Active
Manicaland,Buhera,Buhera,Mudanda,Mudanda - 101081 - Clinic,e0BxlFLWuKQ,ZW010124,ZW01,,,,,192.168.10.2,ZHI,RDC,Rural Council,Rural,Primary,Open
Mashonaland East,Marondera,Marondera,Mudzimurema Rural Health Centre,Mudzimuirema - 101084 - Rural Health Centre,d4wPf8dhlPQ,ZW030505,ZW03,,,,,,ZIMTTECH,RHC,Rural Council,Rural,clinic,Active
Manicaland,Makoni,Makoni,Mufusire Clinic,Mufusire - 101087 - Clinic,OEmeKmvagQm,ZW010439,ZW01,,,,,,,RDC,Rural Council,Rural,Primary ,Open
Mash West,Mhondoro,Mhondoro,Mukarati - 101092 - Council Clinic,Mukarati - 101092 - Council Clinic,T6RUFUxoPLP,ZW040522,ZW04,,,,,,ZIMTTECH,,,,,
Masvingo,Gutu,Gutu,Mukaro Mission Hospital,Mukaro Mission Hospital,uRQRDAtXAZE,ZW080493,ZW08,,,,,192.168.10.1,OPHID/Kapinek,Mission Hospital,Mission,Rural,Secondary,Open
Mash West,Makonde,Makonde,Mukohwe RDC Clinic,Mukohwe - 101096 - Clinic,UVH7HHcS5e4,ZW040426,ZW04,,,,,,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Masvingo,Masvingo,Masvingo,Mukosi Rural Health Centre,Mukosi - 101100 - Clinic,AUU2Za6iKUr,ZW080502,ZW08,,,,,,,Clinic,Govt,Rural,Primary,Open
Mashonaland Central,Mt Darwin,Mt Darwin,MUKUMBURA,Mukumbura - 101101 - Clinic,Ylaxp0B4fw0,ZW020503,ZW02,,,,,192.168.10.1,ZIMTTECH,GOVERNMENT CLINIC,GOVERNMENT,Rural,Primary,Open
Mashonaland East,Murewa,Murewa,Munamba Rural Health Centre,Munamba - 101105 - Rural Health Centre,ylh5zzWxRDn,ZW030706,ZW03,,,,,192.168.10.1,ZIMTTECH,RHC,Government,Rural,clinic,Active
Masvingo,Mwenezi,Mwenezi,Munyamani Rural Health Centre,Munyamani Rural Health Centre,KaZSdnHLBYC,ZW080633,ZW08,,,,,,,RHC,Government,Rural,Primary,Open
Manicaland,Buhera,Buhera,Munyanyi Clinic,Munyanyi - 101110 - Clinic,WKyg79FMK1g,ZW010119,ZW01,,,,,,,,,,,
Manicaland,Mutare,Mutare,Munyarari Clinic,Munyarari - 101112 - Clinic,LLYfRU87KVr,ZW010510,ZW01,,,,,192.168.10.2,ZHI,Mission Clinic,Mission,Rural,Primary,Open
Midlands,Kwekwe,Kwekwe,Munyati clinic,Munyati - 101113 - Clinic,blbFyrowZRf,ZW070585,ZW07,,,,,,ZHI,,,,,
Masvingo,Gutu,Gutu,Munyikwa Clinic,Munyikwa - 101114 - Rural Health Centre,xclPYKg6TTi,ZW080430,ZW08,,,,,10.39.30.2,OPHID/Kapinek,RHC,Rural Council,Rural,Primary,Open
Mash West,Chegutu,Chegutu,Mupfure Clinic,Mupfure Clinic,ZfZxhMeEclI,ZW040109,ZW04,,,,,,ZIMTTECH,Clinic,Council,Rural,Primary,Open
Mashonaland West,Hurungwe,Hurungwe,Murambe Clinic,Murambi - 101122 - Clinic,MhfDeBvNapW,ZW040234,ZW04,,,,,,,RDC,Rural Council,Rural,Primary,Open
Manicaland,Buhera,Buhera,Murambinda,Murambinda - 101124 - District Hospital,IfQGMZN0HcM,ZW01010C,ZW01,,,,,,ZHI,RDC,Mission,Rural,Secondary,Open
Mashonaland West,Mhondoro,Mhondoro,Murambwa RDC Clinic,Murambwa - 101125 - Council clinic,Ni4JXZ8ecnx,ZW040523,ZW04,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Mashonaland West,Makonde,Makonde,Murereka Rural Health Centre,Murereka - 101127 - Clinic,e8DVLtd2Bvv,ZW040407,ZW04,,,,,,ZIMTTECH,RHC,Government,Rural,Primary,Open
Mashonaland East,Murewa,Murewa,Murewa Gvt District Hospital,Murewa - 101129 - District Hospital,Z0DMs3KU6oN,ZW03070A,ZW03,,,,,192.168.0.10,ZIMTTECH,District Hospital,Government,Rural,District Hospital,Active
Mashonaland East,Murewa,Murewa,Murewa Polyclinic,Murewa - 101128 - Poly Clinic,l7xNQF9S63C,ZW030722,ZW03,,,,,192.168.10.1,ZIMTTECH,RHC,Rural Council,Rural,clinic,Active
Masvingo,Masvingo,Masvingo,Murinye Clinic,Murinye - 101132 - Clinic,uYEnUHn5H1C,ZW080531,ZW08,,,,,,,Clinic,RDC,Rural,Primary,Open
Manicaland,Mutare,Mutare,Muromo Rural Health Centre,Muromo - 101134 - Rural Health Centre,JS42B8mFEYI,ZW010506,ZW01,,,,,192.168.10.2,ZHI,RHC,Government,Rural,Primary,Open
Mashonaland Central,Mt Darwin,Mt Darwin,MURONGWE,Murongwe Clinic,J6RuoF0hurv,ZW020536,ZW02,,,,,192.168.10.1,ZIMTTECH,COUNCIL CLINIC,COUNCIL,Rural,Primary,Open
Midlands,Mberengwa,Mberengwa,Murongwe Rural Health Centre,Murongwe - 101135 - Rural Health Centre,pZIckeagBf7,ZW070604,ZW07,,,,,,ZHI,RHC,Government,Rural,Primary,Open
Masvingo,Mwenezi,Mwenezi,Murove Clinic,Murove - 101136 - Clinic,W9zXilUTape,ZW080629,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Mashonaland Central,Mbire,Mbire,Musengezi Clinic,Musengezi Clinic,M4GHS3BEA5l,ZW020832,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Rural Council,Rural,Primary,Open
Masvingo,Masvingo,Masvingo,Mushandike Rural Health Centre,Mushandike - 101142 - Clinic,bGVZqTZYySb,ZW080503,ZW08,,,,,192.168.10.1,OPHID/Kapinek,Clinic,Govt,Rural,Primary,Open
Masvingo,Mwenezi,Mwenezi,Mushava Clinic,Mushava - 101143 - Clinic,Sd1voKwxJhS,ZW080627,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Masvingo,Gutu,Gutu,Mushaviri Rural Health Centre,Mushaviri - 101144 - Clinic,tJksCYMUYHm,ZW080401,ZW08,,,,,,,RHC,Government,Rural,Primary,Open
Masvingo,Zaka,Zaka,Mushaya Clinic,Mushaya - 101145 - Clinic,Dsxy9OYWGra,ZW080733,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Mashonaland Central,Mbire,Mbire,Mushumbi RHC,Mushumbi - 101148 - Clinic,KgEo8UFMjYh,ZW020803,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Government,Rural,Primary,Open
Manicaland,Mutare,Mutare,Mushunje Clinic,Mushunje - 101149 - Clinic,nFJhU0rVPlH,ZW010535,ZW01,,,,,192.168.10.2,ZHI,RDC,Rural Council,Rural,Primary,Open
Mashonaland West,Chegutu,Chegutu,Musinami Rural Health Centre,Musinami - 101151 - Rural Health Centre,Ihe6efhYbFJ,ZW040106,ZW04,,,,,192.168.10.1,ZIMTTECH,RHC,Government,Rural,Primary,Open
Masvingo,Zaka,Zaka,Musiso Mission Hospital,Musiso - 101153 - Mission Hospital,mJ9eUB3If4W,ZW08070C,ZW08,,,,,192.168.10.1,OPHID/Kapinek,Mission Hospital,Rural Council,Rural,Secondary,Open
Midlands,Gokwe South,Gokwe South,Musita Clinic,Musita - 101154 - Clinic,M8BCidxIPZM,ZW070336,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,
Mashonaland East,UMP,UMP,Muskwe Clinic,Muskwe - 101155 - Clinic,jyiZVgDtxFO,ZW030337,ZW03,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,clinic,Active
Midlands,Mberengwa,Mberengwa,Musume Mission Hospital,Musume - 101157 - Mission Hospital,b1EmP6cfSji,ZW07060E,ZW07,,,,,10.54.39.3,ZHI,Mission Hospital,Mission,Rural,Primary,Open
Masvingo,Masvingo,Masvingo,Musvovi Rural Health Centre,Musvovi - 101158 - Clinic,qWZgejuypcm,ZW080504,ZW08,,,,,,,Clinic,Govt,Rural,Primary,Open
Mash West,Makonde,Makonde,Mutala - 101920 - Council Clinic,Mutala - 101920 - Council Clinic,cpphHKWh5cD,ZW040493,ZW04,,,,,,ZIMTTECH,,,,,
Manicaland,MutareCity,Mutare,MutareCity Health Clinic,Mutare- 101166 - Council Clinic,nZbNmPInhOV,ZW010561,ZW01,,,,,,,,,,,
Mashonaland Central,Mt Darwin,Mt Darwin,MUTASA,Mutasa - 101168 - Clinic,YO94lYZNrgL,ZW020508,ZW02,,,,,192.168.10.1,ZIMTTECH,GOVERNMENT CLINIC,GOVERNMENT,Rural,Primary,Open
Mashonaland East,UMP,UMP,Mutawatawa District Hospital,Mutawatawa - 101170 - District Hosptal,UrJZsRd5PPS,ZW03030A,ZW03,,,,,10.79.11.210,ZIMTTECH,District Hospital,Government,Rural,District,Active
Manicaland,Chipinge,Chipinge,Mutema Clinic,Mutema - 101171 - Clinic,y2zdUiQO4He,ZW010333,ZW01,,,,,192.168.10.2,ZHI,RDC,Rural Council,Rural,Primary,Open
Masvingo,Gutu,Gutu,Mutema Rural Health Centre,Mutema - 101172 - Clinic,LaR6odJIgbC,ZW080404,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Government,Rural,Primary,Open
Manicaland,Buhera,Buhera,Mutepfe,Mutepfe - 101174 - Clinic,BDEmqp90JTA,ZW010134,ZW01,,,,,192.168.10.2,ZHI,RDC,Rural Council,Rural,Primary,Open
Masvingo,Gutu,Gutu,Mutero Mission Hospital,Mutero - 101175 - Mission Clinic,rAsVeklMvZ9,ZW080492,ZW08,,,,,,,Mission Hospital,Mission,Rural,Secondary,Open
Masvingo,Chiredzi,Chiredzi,Muteyo Rural Health Centre,Muteyo - 101176 - Clinic,YCwmksrQv9l,ZW080209,ZW08,,,,,,,RHC,Government,Rural,Primary,Open
Manicaland,Buhera,Buhera,Mutiusinazita,Mutiusinazita - 101179 - Clinic,RZQzoM8gIgm,ZW010135,ZW01,,,,,192.168.10.2,ZHI,RDC,Rural Council,Rural,Primary,Open
Mashonaland West,Zvimba,Zvimba,Mutorashanga RDC Hospital,Mtorashanga - 101072 - Hospital,z8IQ5wyJfwO,ZW04060F,ZW04,,,,,,,RDC,Rural Council,Peri-Urban,Primary,MINING
Mashonaland Central,Mt Darwin,Mt Darwin,MUTUNGAGORE,Mutungagore - 101185 - Clinic,N2c3DJKzPZi,ZW020507,ZW02,,,,,192.168.10.1,ZIMTTECH,GOVERNMENT CLINIC,GOVERNMENT,Rural,Primary,Open
Mash West,Sanyati,Sanyati,Muuyu - 101186 - Council Clinic,Muuyu - 101186 - Council Clinic,Bk0ONEIrW2b,ZW040622,ZW04,,,,,,ZIMTTECH,,,,,
Mash West,Makonde,Makonde,Muzari - 101921 - Poly Clinic,Muzari - 101921 - Poly Clinic,rI5uGn9oEHG,ZW040494,ZW04,,,,,,ZIMTTECH,,,,,
Manicaland,Buhera,Buhera,Muzokomba,Muzokomba - 101190 - Clinic,jFqSHbG59uf,ZW010136,ZW01,,,,,,ZHI,RDC,Rural Council,Rural,Primary,Open
Mashonaland Central,Mazowe,Mazowe,MVURWI,Mvurwi - 101192 - Hospital,VLIf5uV4fhB,ZW02040E,ZW02,,,,,10.71.10.10,ZIMTTECH,Hospital,Gvt,Urban,Primary,Open
Mashonaland West,Hurungwe,Hurungwe,Mwami Rural Hospital,Mwami - 101194 - Hospital,Pr38K304mkU,ZW04020C,ZW04,,,,,,,Rural Hospital,Government,Rural,Primary,Open
Midlands,Mberengwa,Mberengwa,Mwanezi Rural Health Centre,Mwenezi - 101198 - Rural Health Centre,ZWwFAVck5em,ZW070605,ZW07,,,,,192.168.10.1,ZHI,RHC,Government,Rural,Primary,Open
Mashonaland East,Goromonzi,Goromonzi,Mwanza Rural Health Centre,Mwanza - 101195 - Rural Health Centre,VkOjFEfhMcg,ZW030203,ZW03,,,,,192.168.10.1,ZIMTTECH,RHC,Government,Rural,clinic,Active
Masvingo,Mwenezi,Mwenezi,Mwenezana Clinic,Mwenezana - 101197 - Clinic,eNq2hEBUbBx,ZW080682,ZW08,,,,,,,RHC,Private,Rural,Primary,Open
Masvingo,Mwenezi,Mwenezi,Mwenezi Clinic,Mwenezi - 101000 - Council Clinic,nNRxlONErnx,ZW080628,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Rural Council,Rural,Primary,Open
Bulawayo,Northern Surbubs,Bulawayo,Mzilikazi Clinic,Mzilikazi - 101202 - Clinic,LzPod6UX2mA,ZW090A08,ZW09,,,,,,Ophid,Clinic,Town/City Council,Urban,Primary,Open
Matabeleland South,Gwanda,Gwanda,Mzimuni Clinic,Mzimuni - 101203 - Clinic,KOtS4LirnJo,ZW060328,ZW06,,,,,192.168.10.1,Ophid,RDC,Rural Council,Rural,,
Matabeleland South,Umzingwane,Umzingwane,Mzingwane RHC,Umzingwane - 101725 - Clinic,NYyR0XgxhQr,ZW060606,ZW06,,,,,,,RHC,Government,Rural,,
Matabeleland South,Matobo,Matobo,Natisa Rural Health Centre,Natisa - 101208 - Rural Health Centre,BT9ERqzG21A,ZW060501,ZW06,,,,,192.168.10.1,Ophid,RHC,Government,Rural,,
Midlands,Gokwe South,Gokwe South,Ndabambi Clinic,Ndabambi - 101209 - Clinic,XJsn6cGdf0G,ZW070309,ZW07,,,,,,ZHI,,,,,
Matabeleland South,Matobo,Matobo,Ndabankulu Clinic,Ndabankulu Clinic,JBrHjCgtk1U,ZW060508,ZW06,,,,,192.168.10.1,Ophid,RDC,Town/City Council,Rural,,
Masvingo,Zaka,Zaka,Ndanga District Hospital,Ndanga - 101210 - Hospital,ZlQRjkoXG9b,ZW08070A,ZW08,,,,,10.39.19.10,OPHID/Kapinek,District Hospital,Government,Rural,Secondary,Open
Matabeleland South,Bulilima,Bulilima,Ndiweni Clinic,Ndiweni - 101211 - Clinic,mCKQlE4o0Yr,ZW060230,ZW06,,,,,192.168.10.1,Ophid,RDC,Rural Council,Rural,,
Manicaland,Makoni,Makoni,Nedewedzo Rural Hospital,Nedevedzo - 101216 - Rural Hospital,BTZXAPMERV4,ZW01040D,ZW01,,,,,,,Rural Hospital,Government,Rural,Primary ,Open
Midlands,Mberengwa,Mberengwa,Negove Clinic,Negobe - 101219 - Clinic,Q8Btfg2jxPv,ZW070634,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,Open
Masvingo,Mwenezi,Mwenezi,Nehanda Rural Health Centre,Nehanda - 101222 - Clinic,yzw2HRX9Prn,ZW080605,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Government,Rural,Primary,Open
Masvingo,Masvingo,Masvingo,Nemamwa Rural Health Centre,Nemwanwa - 101228 - Clinic,BYmITScQJL8,ZW080506,ZW08,,,,,,,Clinic,Govt,Rural,Primary,Open
