Province,District,Recency District,Facility,DATIM Site Name,DATIM Org ID,Facility ID,Province Code,District Code,EHR Version,Activation Status,EHR Type,IP Address,Implementing Partner,Type,Ownership,Location,Level,Status
Mashonaland East,Goromonzi,Goromonzi,Chinamhora Clinic,Chinamhora - 100219 - Clinic,vts8c377DeQ,ZW030225,ZW03,,,,,172.16.10.1,ZIMTTECH,RDC,Rural Council,Peri-Urban,clinic,Active
Mashonaland Central,Mazowe,Mazowe,CHINEHASHA,Chinehasha - 100224 - Clinic,AbdP0AhLQ0K,ZW020401,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Gvt,Rural,Primary,Open
Mashonaland West,Chegutu,Chegutu,Chinengundu Clinic,Chinengundu - 100225 - Clinic,cie0TDpTUmD,ZW040162,ZW04,,,,,192.168.10.1,ZIMTTECH,RHC,Town/City Council,Urban,Primary,Open
Masvingo,Chiredzi,Chiredzi,Chingele Clinic,Chingele - 100227 - Clinic,Q3ugvdCRvpY,ZW080292,ZW08,,,,,,,RHC,Mission,Rural,Primary,Open
Midlands,Mberengwa,Mberengwa,Chingezi Clinic,Chingezi - 100228 - Clinic,rhEss5YJ0lt,ZW070628,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,Open
Mashonaland West,Mhondoro,Mhondoro,Chingondo RDC Clinic,Chingondo - 100229 - Clinic,Psij86nmKUz,ZW040518,ZW04,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Masvingo,Mwenezi,Mwenezi,Chingwizi Clinic,Chingwizi - 100230 - Satelite Clinic,GUyrKhGPkmB,ZW080608,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Government,Rural,Primary,Open
Manicaland,Makoni,Makoni,Chinhenga Rural Health Centre,Chinhenga - 100231 - Rural Health Centre,RWivvGgnk5S,ZW010403,ZW01,,,,,,,RHC,Government,Rural,Primary ,Open
Mashonaland West,Hurungwe,Hurungwe,Chinhere Clinic,Chinhere - 100232 - Council Clinic,ImqILPZv3dP,ZW040225,ZW04,,,,,192.168.10.1,ZIMTTECH,RDC,RDC,Rural,Primary,Open
Mashonaland West,Makonde,Makonde,Chinhoyi Munic Clinic,Chinhoyi Clinic - 100233 - Clinic,FEkAkg5Ev7k,ZW040461,ZW04,,,,,,,RHC,Town/City Council,Urban,Primary,Open
Mashonaland West,Makonde,Makonde,Chinhoyi Provincial Hospital,Chinhoyi - 100235 - Provincial Hospital,Jna4eqryjis,ZW04040A,ZW04,,,,,10.67.1.2,ZIMTTECH,Provincial Hospital,Government,Urban,Primary,Open
Mash West,Makonde,Makonde,Chinhoyi Univ of Tech Clinic,Chinhoyi University Clinic - 100236 - University Clinic,xhjQsi2HnIt,ZW040503,ZW04,,,,,,ZIMTTECH,RHC,Private,Urban,Primary,Open
Masvingo,Zaka,Zaka,Chinyabako Clinic,Chinyabako - 100238 - Clinic,uuD4wwSkIeT,ZW080727,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Manicaland,Chipinge,Chipinge,Chinyamukwakwa Rural Health Centre,Chinyamukwaka - 100240 - Clinic,XPMMDcY8BuB,ZW010303,ZW01,,,,,192.168.10.2,ZHI,RHC,Government,Rural,Primary,Open
Mashonaland East,Goromonzi,Goromonzi,Chinyika Clinic,Chinyika - 100242 - Clinic,k8Xcni81ZqV,ZW030226,ZW03,,,,,10.79.18.16,ZIMTTECH,RDC,Rural Council,Rural,clinic,Active
Masvingo,Gutu,Gutu,Chinyika Rural Hospital,Chinyika - 100243 - Rural Health Centre,gQu3bUzI3bn,ZW08040D,ZW08,,,,,192.168.10.1,OPHID/Kapinek,Rural Hospital,Government,Rural,Primary,Open
Manicaland,Makoni,Makoni,Chinyudze Rural Health Centre,Chinyudze - 100245 - Rural Health Centre,Txi298JjnJB,ZW010406,ZW01,,,,,,,RHC,Government,Rural,Primary ,Open
Mashonaland East,Marondera,Marondera,Chiota Rural Hospital,Chiota - 100247 - Rural Hospital,d7gKjgLmPHF,ZW03050B,ZW03,,,,,192.168.10.1,ZIMTTECH,RHC,Government,Rural,Rural Hospital,Active
Mashonaland East,Marondera,Marondera,Chipararwe Council Clinic,Chiparawe - 100250 - Clinic,fc6CsjpLvS6,ZW030529,ZW03,,,,,192.168.10.1,ZIMTTECH,District Hospital,Government,Rural,clinic,Active
Manicaland,Mutare,Mutare,Chipendeke Clinic,Chipendeke - 100251 - Rural Health Centre,gukxzjQHdEA,ZW010544,ZW01,,,,,192.168.10.2,ZHI,RHC,Government,Rural,Primary,Open
Manicaland,Mutare,Mutare,Chipfatsura,Chipfatsura - 100252 - Clinic,sySIljgDD4k,ZW010527,ZW01,,,,,192.168.10.2,ZHI,RDC,Rural Council,Rural,Primary,Open
Mashonaland East,UMP,UMP,Chipfunde Clinic,Chipfunde - 100253 - Clinic,SDyRVyw5bTp,ZW030327,ZW03,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,clinic,Active
Mash West,Makonde,Makonde,Chipfuwamiti Clinic,Chipfuwamiti Clinic,us3vArKUv5J,ZW040491,ZW04,,,,,,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Masvingo,Zaka,Zaka,Chipinda Rural Health Centre,Chipinda - 100254 - Rural Health Centre,UjPKTFDVqUE,ZW080701,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Manicaland,Chipinge,Chipinge,Chipinge District Hospital,Chipinge - 100256 - District Hospital,qjwyEub0gWL,ZW01030A,ZW01,,,,,10.20.6.2,ZHI,District Hospital,Government,Urban,Primary,Open
